zipcode3,PREP,N2,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,N01000,A01000,SCHF,N02300,A02300
000xx,78415000,284407960,34562930,10250219281,147025470,10396138255,122834750,7101762895,41417350,77925176,26622710,222918946,24807200,174406588,24351540,336239587,23142210,491383020,1584600,5599950,25751489
010xx,117920,390630,62540,14043321,221930,14253798,184770,10039847,81570,88909,46660,223812,43510,175773,30330,514207,35590,336391,500,12640,77820
011xx,34970,135690,13980,3639749,72360,3681669,63770,2690506,14320,22030,8130,62171,7550,51472,7430,105856,6180,188322,0,4620,25045
012xx,32820,106200,20160,3838583,62810,3904876,50690,2458102,21200,28558,15750,117035,14840,94355,9370,159169,11770,170941,100,3390,19107
013xx,20170,69170,12340,2159023,39810,2194060,32750,1502007,14240,11528,8320,42697,7650,32965,6300,90067,6440,45151,310,2190,13521
014xx,52490,193200,24910,7333511,105130,7427453,91090,5623021,41170,32521,19810,99061,18380,75421,13970,245946,16300,224568,60,6230,41842
015xx,104380,362220,47490,15902817,193370,16111396,166880,12300492,80820,70075,44790,200214,42140,154388,26730,513767,37400,422501,160,10770,73400
016xx,47300,152810,16210,4385015,87130,4434072,77060,3506213,20850,16841,10100,50940,9350,39725,10810,140392,8260,69953,0,4630,28301
017xx,104490,376360,50860,25980191,194140,26399833,160750,17083920,90480,231507,68820,882641,65340,695213,37430,1042929,61180,2022716,60,8280,63488
018xx,209290,691520,83850,31142543,375750,31541080,324840,23331502,140950,188875,83460,471315,78200,360168,51480,1035303,69200,1162597,0,19820,134872
019xx,148860,446570,69670,22407068,251440,22781534,207870,15160514,97260,177255,63790,564481,59850,449819,42140,956792,53080,1347234,0,11590,83240
020xx,118690,397150,57150,26300427,207760,26715175,173650,17798589,94200,213677,68320,630359,64540,493784,33590,933702,58460,1748857,0,9340,70895
021xx,353490,1100730,123050,58574902,688760,59322603,603370,40904656,207620,591954,137860,1683661,129630,1343757,106060,1959549,117000,5127165,0,28810,196547
022xx,3260,10530,800,1233920,8880,1253303,8190,863828,3100,12770,2730,39737,2600,30062,1200,33742,2500,110618,0,200,1473
023xx,130360,413090,55720,16452131,227580,16657733,195830,12334468,73180,72249,40560,174958,37590,135352,31170,521564,31750,471449,170,12880,88244
024xx,110900,373890,55210,40854370,200050,41491592,162600,22977511,104810,642861,88360,1893541,84280,1499615,42930,1668959,80140,6326946,0,6250,50028
025xx,39530,111580,22470,5046399,66820,5161433,51280,2977504,24570,36778,17390,159531,16320,127976,14490,324951,14830,314732,0,3730,24023
026xx,52160,142520,35890,6412820,87110,6539133,62790,3382336,35150,55605,25840,239158,24390,184311,18470,376953,22160,421012,20,5370,32408
027xx,154380,466150,60470,16218311,261530,16419735,225680,12387922,84050,72185,43170,200627,40370,156219,31500,535092,33030,352270,170,19820,120394
028xx,191680,597060,89480,24207194,339860,24569510,285990,16989665,110100,190756,72770,502632,68310,401817,47950,849071,58270,958908,370,23100,105481
029xx,107170,313520,36990,9923847,181340,10054160,156910,7397629,42380,64983,26060,193408,24410,156075,26120,364364,21370,269389,0,13390,56282
030xx,89300,372520,47830,16220550,204250,16454308,177600,12513161,68800,94062,46210,229901,43070,178480,28570,634166,37780,545040,0,7530,43623
031xx,31770,133540,15980,5384142,76880,5461228,67750,4052334,20610,34692,14100,94101,13070,76144,9550,222677,11380,261456,0,2370,11318
032xx,39000,169860,27610,6395069,95150,6502633,79340,4278227,27290,38318,20250,151510,18880,118601,15810,296963,16940,261759,80,2440,9623
033xx,11300,54100,8130,2051902,30740,2087147,26150,1523802,8910,10614,6560,39651,6090,30446,4020,88779,5430,60028,50,690,2981
034xx,16380,70900,11970,2605301,40250,2646551,33450,1712215,12840,16684,9090,94384,8510,77099,6320,123800,7380,136881,40,1060,4618
035xx,10780,37460,6670,1093257,21680,1110225,18050,753135,6520,6324,4190,21147,3830,16691,3200,34987,3250,21360,30,930,3151
036xx,3120,11720,2020,392880,6560,399487,5500,270425,1940,2552,1350,9975,1270,8202,1010,18105,1060,16132,50,120,544
037xx,17080,66180,10950,3284931,37920,3336951,31560,2049737,12870,26622,9220,127647,8610,100353,6060,137629,7830,297460,100,570,1924
038xx,74680,297840,47710,13499560,171250,13732005,142890,9389756,58250,95814,41830,338176,39090,263432,27000,668441,35260,617677,30,4940,24594
039xx,12770,47910,8300,1982049,26930,2019330,21670,1314387,10070,12578,7080,46132,6580,36677,4770,102099,5910,77696,0,750,3521
040xx,78190,311410,47960,11244111,174570,11433224,146520,7828018,59320,62645,35550,232226,33320,188810,27980,424070,30190,482498,250,5050,19977
041xx,26780,98900,14600,4733077,60590,4832684,51220,3119142,21650,37259,15370,163383,14540,136407,10770,205632,13410,345037,0,1240,5061
042xx,36090,145700,19250,3795308,78450,3843043,67920,2919753,19630,14787,10410,39416,9440,30061,10550,104801,8130,53342,190,3110,11622
043xx,15980,71070,11300,2059962,39420,2090053,32520,1484463,12920,9335,6020,24370,5470,18522,5950,68460,4960,30027,190,1190,4671
044xx,34390,136680,20460,3879063,75400,3934484,63430,2838677,20830,18601,11320,50262,10290,39903,10430,106514,8920,71216,140,3260,14877
045xx,12220,43100,9030,1459289,24790,1490616,18940,825474,9410,9466,6190,56155,5840,45547,5680,74509,5260,61248,40,620,2440
046xx,17850,61080,11470,1778566,34390,1822717,26250,1030230,10880,10861,6850,48904,6300,38282,9160,157243,5350,67602,120,1510,5636
047xx,15910,55060,8690,1318123,29500,1339000,24790,961229,8370,7409,3620,7949,3380,6330,3820,37130,2490,16628,280,1770,6359
048xx,9830,34870,7140,1148496,20010,1180050,15170,654344,7070,8705,5300,51952,4920,43608,5330,91580,4480,67038,90,610,2336
049xx,33020,127940,19240,3265358,69270,3314556,57620,2352521,18610,15181,9870,42150,8840,31790,10960,112372,8530,59886,540,3390,14254
